"Date","Price","Open","High","Low","Vol.","Change %"
"10/11/2022","27.450","26.900","27.450","26.900","976.30K","2.04%"
"10/10/2022","26.900","27.150","27.600","26.700","1.20M","-0.37%"
"10/07/2022","27.000","27.000","27.550","26.700","1.67M","1.12%"
"10/06/2022","26.700","27.750","27.750","26.500","6.09M","-3.26%"
"10/05/2022","27.600","27.600","27.950","27.000","1.74M","1.10%"
"10/04/2022","27.300","28.450","28.450","27.100","4.36M","-1.44%"
"10/03/2022","27.700","28.100","28.250","26.900","1.34M","-1.95%"
"09/30/2022","28.250","29.400","29.400","28.250","2.49M","-4.24%"
"09/29/2022","29.500","29.600","29.850","29.200","2.39M","2.43%"
"09/28/2022","28.800","28.850","29.500","28.650","1.54M","0.17%"
"09/27/2022","28.750","29.900","29.900","28.600","2.87M","-4.33%"
"09/23/2022","30.050","29.900","30.800","29.900","690.30K","1.01%"
"09/22/2022","29.750","30.450","31.000","29.600","4.23M","-2.46%"
"09/21/2022","30.500","30.300","30.700","30.150","678.70K","0.99%"
"09/20/2022","30.200","31.050","31.700","30.000","5.88M","-3.67%"
"09/19/2022","31.350","31.500","31.950","31.000","840.30K","0.00%"
"09/16/2022","31.350","32.500","32.700","31.350","4.94M","-4.86%"
"09/15/2022","32.950","33.300","33.950","32.800","2.01M","-1.05%"
"09/14/2022","33.300","33.600","33.600","33.000","1.09M","-4.31%"
"09/13/2022","34.800","33.800","34.800","33.650","120.30K","2.96%"
"09/12/2022","33.800","34.000","34.750","33.600","206.30K","0.45%"
"09/09/2022","33.650","33.800","34.000","33.650","190.40K","0.15%"
"09/08/2022","33.600","34.500","34.500","33.400","725.80K","-2.75%"
"09/07/2022","34.550","35.000","35.250","34.500","140.00K","-2.12%"
"09/06/2022","35.300","35.000","35.350","34.600","207.90K","0.86%"
"09/05/2022","35.000","35.400","35.400","34.700","661.50K","-1.82%"
"09/02/2022","35.650","33.400","35.650","33.400","491.40K","6.74%"
"09/01/2022","33.400","34.200","34.250","33.250","1.17M","-2.48%"
"08/31/2022","34.250","34.900","34.950","34.250","730.20K","-1.72%"
"08/30/2022","34.850","34.950","35.000","34.150","1.31M","-1.55%"
"08/26/2022","35.400","34.500","35.400","34.350","181.20K","2.61%"
"08/25/2022","34.500","34.150","34.750","34.150","463.90K","0.00%"
"08/24/2022","34.500","34.800","34.800","34.050","593.70K","-1.15%"
"08/23/2022","34.900","35.600","35.600","34.750","5.19M","-2.38%"
"08/22/2022","35.750","35.650","35.900","35.200","2.31M","0.28%"
"08/19/2022","35.650","35.750","35.950","35.450","807.70K","0.28%"
"08/18/2022","35.550","35.500","35.800","35.150","1.27M","-0.28%"
"08/17/2022","35.650","36.000","36.650","34.900","3.02M","-0.97%"
"08/16/2022","36.000","35.500","36.200","35.400","2.49M","1.55%"
"08/15/2022","35.450","34.900","35.700","34.850","3.68M","1.58%"
"08/12/2022","34.900","33.850","34.950","33.800","6.21M","3.10%"
"08/11/2022","33.850","33.450","34.000","33.300","1.73M","1.65%"
"08/10/2022","33.300","32.400","33.400","32.300","1.26M","3.74%"
"08/09/2022","32.100","31.700","32.400","31.700","1.47M","1.26%"
"08/08/2022","31.700","31.950","32.150","31.100","3.06M","0.16%"
"08/05/2022","31.650","31.750","32.000","31.550","2.32M","-1.09%"
"08/04/2022","32.000","30.900","32.000","30.900","3.42M","4.58%"
"08/03/2022","30.600","30.200","31.050","30.150","1.52M","1.66%"
"08/02/2022","30.100","30.150","30.450","29.950","752.80K","0.00%"
"08/01/2022","30.100","30.200","30.250","29.750","501.80K","-0.33%"
"07/29/2022","30.200","30.200","30.200","29.700","728.90K","0.67%"
"07/28/2022","30.000","29.700","30.200","29.700","693.30K","1.01%"
"07/27/2022","29.700","29.950","30.250","29.500","295.00K","-0.83%"
"07/26/2022","29.950","30.000","30.000","29.600","1.52M","-0.17%"
"07/25/2022","30.000","29.800","30.000","29.050","674.00K","0.84%"
"07/22/2022","29.750","29.500","29.950","29.500","704.80K","0.85%"
"07/21/2022","29.500","29.250","29.850","29.250","1.56M","1.55%"
"07/20/2022","29.050","28.800","29.500","28.800","1.25M","1.75%"
"07/19/2022","28.550","29.300","29.750","28.550","1.02M","-2.06%"
"07/18/2022","29.150","29.000","29.500","29.000","467.00K","0.52%"
"07/15/2022","29.000","30.500","30.500","29.000","3.46M","-4.92%"
"07/14/2022","30.500","31.050","31.500","30.100","1.02M","-1.77%"
"07/13/2022","31.050","31.500","31.900","30.950","416.00K","-2.05%"
"07/12/2022","31.700","31.800","32.000","31.250","526.00K","-0.78%"
"07/11/2022","31.950","32.450","32.450","31.100","334.40K","-1.54%"
"07/08/2022","32.450","31.600","32.600","31.500","682.70K","2.53%"
"07/07/2022","31.650","31.800","32.000","31.200","375.30K","0.96%"
"07/06/2022","31.350","30.800","31.950","30.550","1.51M","3.47%"
"07/05/2022","30.300","30.950","30.950","30.100","2.49M","-2.10%"
"07/04/2022","30.950","30.900","31.100","30.700","124.40K","0.16%"
"07/01/2022","30.900","30.500","31.200","30.200","149.20K","2.66%"
"06/30/2022","30.100","31.500","31.500","30.100","1.63M","-4.14%"
"06/29/2022","31.400","30.800","31.400","30.700","756.50K","2.78%"
"06/28/2022","30.550","30.500","30.900","30.400","611.10K","0.16%"
"06/27/2022","30.500","30.500","30.800","30.250","418.70K","0.00%"
"06/24/2022","30.500","30.500","30.850","30.200","677.50K","-1.29%"
"06/23/2022","30.900","30.850","31.100","30.150","657.60K","-0.32%"
"06/22/2022","31.000","31.000","31.200","30.850","327.80K","0.00%"
"06/21/2022","31.000","31.250","31.250","30.750","287.80K","0.00%"
"06/20/2022","31.000","31.000","31.550","30.800","305.80K","0.00%"
"06/17/2022","31.000","32.000","32.000","30.950","537.00K","-2.97%"
"06/16/2022","31.950","31.000","31.950","30.900","1.21M","3.06%"
"06/15/2022","31.000","31.500","31.500","30.600","408.30K","-0.32%"
"06/14/2022","31.100","31.100","31.150","30.500","1.10M","0.32%"
"06/13/2022","31.000","32.500","32.500","31.000","2.11M","-4.62%"
"06/10/2022","32.500","33.600","33.600","32.500","1.21M","-3.85%"
"06/09/2022","33.800","33.750","33.800","33.100","549.20K","0.90%"
"06/08/2022","33.500","33.850","33.850","33.150","557.20K","-1.33%"
"06/07/2022","33.950","33.150","33.950","33.050","596.40K","2.11%"
"06/06/2022","33.250","33.600","33.850","33.050","475.40K","-1.04%"
"06/03/2022","33.600","33.600","33.950","33.000","1.22M","0.00%"
"06/02/2022","33.600","33.600","33.950","33.050","568.40K","0.00%"
"06/01/2022","33.600","33.000","34.150","33.000","850.30K","1.82%"
"05/31/2022","33.000","34.500","34.500","33.000","2.77M","-5.04%"
"05/30/2022","34.750","33.150","34.750","33.150","1.03M","5.14%"
"05/27/2022","33.050","33.000","33.500","32.800","2.59M","0.15%"
"05/26/2022","33.000","32.700","33.000","32.500","308.90K","1.38%"
"05/25/2022","32.550","32.300","32.700","32.250","264.90K","1.09%"
"05/24/2022","32.200","33.450","33.450","32.000","3.17M","-3.74%"
"05/23/2022","33.450","34.000","34.500","33.200","767.50K","-0.89%"
"05/20/2022","33.750","34.000","34.700","33.550","601.60K","-0.74%"
"05/19/2022","34.000","34.150","36.000","32.300","4.67M","-0.73%"
"05/18/2022","34.250","32.800","34.450","32.800","2.68M","5.38%"
"05/17/2022","32.500","32.800","34.000","32.500","1.26M","0.00%"
"05/16/2022","32.500","32.300","32.750","32.300","825.50K","2.69%"
"05/13/2022","31.650","32.300","32.650","31.500","3.16M","-1.40%"
"05/12/2022","32.100","34.000","34.000","32.100","1.24M","-5.59%"
"05/11/2022","34.000","33.500","34.200","32.700","507.40K","1.34%"
"05/10/2022","33.550","33.400","33.600","32.000","2.11M","-0.15%"
"05/06/2022","33.600","35.000","35.450","33.600","823.70K","-5.35%"
"05/05/2022","35.500","34.500","35.800","34.050","1.03M","2.90%"
"05/04/2022","34.500","33.300","34.500","33.050","296.30K","4.55%"
